"Name","Frequency"
"JETHRO",10
"KAVIN",10
"KELVIN",10
"KHALED",10
"KISHAN",10
"KOLBY",10
"KONSTANTINOS",10
"KRISTOPHER",10
"MAAZ",10
"MATEUS",10
"MEKHI",10
"MIKAEEL",10
"NOAM",10
"PASCAL",10
"PHILIPPE",10
"RANVEER",10
"RAYHAN",10
"REILLY",10
"REMINGTON",10
"RICARDO",10
"SHAUN",10
"SHAYNE",10
"SHEA",10
"SHELDON",10
"SULTAN",10
"TYE",10
"URIAH",10
"VALENTINO",10
"VAUGHN",10
"VIKTOR",10
"VIVAAN",10
"AKASH",9
"ALARIC",9
"AMIN",9
"AMOS",9
"ANDRÉ",9
"ANTONY",9
"ARTIN",9
"AXTON",9
"AYMAN",9
"AYOUB",9
"BABY",9
"BRAIDEN",9
"BRENDEN",9
"CAIUS",9
"CASPER",9
"CHAYCE",9
"CROSBY",9
"DAYTON",9
"DENIS",9
"EDDIE",9
"ELYAS",9
"EUAN",9
"GIACOMO",9
"GIANNI",9
"HARLAN",9
"HASHIR",9
"HENDRIX",9
"HIMMAT",9
"HUZAIFA",9
"ISHAN",9
"ISMAEL",9
"JAXX",9
"JEEVAN",9
"JOSE",9
"JUSTUS",9
"KARAN",9
"KIRAN",9
"KIYAN",9
"KONNOR",9
"LAZAR",9
"LEE",9
"LÉO",9
"LEONARD",9
"LEONIDAS",9
"LIONEL",9
"LUCIAN",9
"MAHAD",9
"MAHDI",9
"MANUEL",9
"MATHIEU",9
"MATTIAS",9
"MEIR",9
"MERRICK",9
"MIKAIL",9
"NEHEMIAH",9
"NIHAL",9
"OSKAR",9
"PIERRE",9
"PRANAV",9
"ROBIN",9
"RUDRA",9
"RYLEY",9
"SAAD",9
"SAGE",9
"SONNY",9
"STEFANO",9
"SULAIMAN",9
"TATUM",9
"TERENCE",9
"TERRY",9
"THÉODORE",9
"TRISTEN",9
"ZAKARY",9
"ZAKI",9
"ZAVIER",9
"ZAYNE",9
"ZECHARIAH",9
"ZEV",9
"ADDISON",8
"AEDAN",8
"AGAM",8
"ALEXY",8
"ANSH",8
"ARES",8
"ARMIN",8
"ARSH",8
"ATLAS",8
"AYDAN",8
"AYUSH",8
"BENNY",8
"BLAINE",8
"BLAZE",8
"BO",8
"BRYSEN",8
"CAEL",8
"CAIRO",8
"CALE",8
"CASON",8
"COEN",8
"DANIAL",8
"DONTAE",8
"DRAYDEN",8
"EKAM",8
"ELVIS",8
"ÉTIENNE",8
"EVANDER",8
"FRANKLIN",8
"IZAIAH",8
"JACKY",8
"JADON",8
"JAGGER",8
"JAXTON",8
"JAYDAN",8
"JEDIDIAH",8
"JERICHO",8
"JIBRIL",8
"JOHNSON",8
"KAYLEB",8
"KENAN",8
"LOÏK",8
"LOUKA",8
"LUIGI",8
"MAHIR",8
"MELVIN",8
"MIR",8
"MOHAMAD",8
"MONTGOMERY",8
"MOSHE",8
"MUHAMMED",8
"MURTAZA",8
"NEEL",8
"NICK",8
"NORMAN",8
"PEDRO",8
"RAJVEER",8
"RICO",8
"SHAYAAN",8
"SHIVAM",8
"SIDDHARTH",8
"SOREN",8
"STEPHAN",8
"TEAGAN",8
"THIAGO",8
"TITAN",8
"TYRESE",8
"VED",8
"VIKRAM",8
"VIRAJ",8
"VLADIMIR",8
"WAYLON",8
"WAYNE",8
"YASH",8
"YOSEF",8
"ZAIDEN",8
"ABDULAZIZ",7
"ACHILLES",7
"ALEXANDROS",7
"ALFRED",7
"ALIJAH",7
"AMAAN",7
"ANDRES",7
"APOLLO",7
"ARAV",7
"ARIEL",7
"ARYA",7
"AUGUSTINE",7
"AUGUSTUS",7
"AVIRAJ",7
"AZARIAH",7
"BAILEY",7
"BANE",7
"BARRETT",7
"BASIL",7
"BECKHAM",7
"BENICIO",7
"BLAIR",7
"BLAISE",7
"BRENT",7
"CARMINE",7
"CHAYSE",7
"CONSTANTINE",7
"DAMEN",7
"DARRYL",7
"DEKLAN",7
"DEVAN",7
"EDEN",7
"ELVIN",7
"EMRE",7
"ESSA",7
"FERNANDO",7
"FINDLEY",7
"FRANCO",7
"FRANZ",7
"GABRIELE",7
"GERALD",7
"GIAN",7
"GIORGIO",7
"GURTAJ",7
"HARJAS",7
"HARPER",7
"HAVEN",7
"HOWARD",7
"HUXLEY",7
"JACQUES",7
"JAHSIAH",7
"JASKIRAT",7
"JAVIER",7
"JEFFERSON",7
"JÉRÉMY",7
"JOSEF",7
"JUNIOR",7
"KAELEN",7
"KALE",7
"KALLEN",7
"KARMAN",7
"KASH",7
"KAYNE",7
"KELLEN",7
"KENT",7
"LARRY",7
"LAURENT",7
"LEVON",7
"LYNDON",7
"MADDEX",7
"MAKS",7
"MANAV",7
"MARCELO",7
"MAXIMILLIAN",7
"MAXX",7
"MEHTAB",7
"MICHAL",7
"MICHEAL",7
"MOHID",7
"NIALL",7
"NIKKO",7
"NIKOLAOS",7
"NOOR",7
"OMER",7
"OTIS",7
"PRINCETON",7
"QUINCY",7
"RADIN",7
"RAPHAËL",7
"REGINALD",7
"RÉMI",7
"REX",7
"RHETT",7
"RIO",7
"RODRIGO",7
"RONALD",7
"RONIT",7
"RUBEN",7
"RYDEN",7
"SAFWAN",7
"SALVATORE",7
"SAMIR",7
"SHAHEER",7
"SHAURYA",7
"SHMUEL",7
"TALHA",7
"TEJAS",7
"TEO",7
"TEODOR",7
"WESTLEY",7
"WILHELM",7
"WILL",7
"YASIN",7
"YEHUDA",7
"AARAN",6
"ABDALLAH",6
"ABDURAHMAN",6
"ABDUR-RAHMAN",6
"ABHIJOT",6
"ABUBAKAR",6
"ADEL",6
"ADONIS",6
"AKSHAY",6
"AKSHAYAN",6
"ALEN",6
"ALEXI",6
"AMAN",6
"AMANI",6
"AMAR",6
"ANDREY",6
"ANOOP",6
"ARHAAN",6
"ARIUS",6
"ARNOLD",6
"ASTON",6
"AUBREY",6
"AYUB",6
"BOAZ",6
"BOBBY",6
"BOHDAN",6
"BRADYN",6
"BRODERICK",6
"CAIN",6
"CARLO",6
"CHAEL",6
"CHAIM",6
"CHANNING",6
"CLAUDIO",6
"CORMAC",6
"DALE",6
"DALTON",6
"DEMETRIUS",6
"DESTIN",6
"DEVANSH",6
"DIMITRIOS",6
"DYSON",6
"EAMON",6
"EDMOND",6
"EDMUND",6
"EITAN",6
"ELIOTT",6
"ELTON",6
"EMIL",6
"EMIR",6
"EPHRAIM",6
"ERNEST",6
"FELIPE",6
"FORREST",6
"FYNN",6
"GAEL",6
"GARETH",6
"GAVYN",6
"GIANCARLO",6
"GILBERT",6
"GREYSEN",6
"HABIB",6
"HAIDER",6
"HAMDAN",6
"HAMZAH",6
"HANS",6
"HASHEM",6
"ILAN",6
"IZAYAH",6
"JAEDEN",6
"JAHZIAH",6
"JALAL",6
"JASHAN",6
"JAWAD",6
"JEFFERY",6
"JIA",6
"JOHNATHON",6
"JON",6
"JORDON",6
"JORGE",6
"KACPER",6
"KAMRAN",6
"KASEN",6
"KAYSEN",6
"KEIRAN",6
"KEYAAN",6
"KIAAN",6
"KYSON",6
"LAITH",6
"LAYTON",6
"LUCCA",6
"LYRIC",6
"MALIKAI",6
"MANVIR",6
"MARQUIS",6
"MARVIN",6
"MARWAN",6
"MATHEUS",6
"MATT",6
"MAXTON",6
"MAZIN",6
"MIKE",6
"MUSAB",6
"MYLO",6
"NEO",6
"NEVAN",6
"NEVIN",6
"NIAM",6
"NIKITA",6
"NOA",6
"NYLE",6
"OREN",6
"OSMAN",6
"PARSA",6
"PEARSON",6
"PETAR",6
"PIETRO",6
"PRESLEY",6
"RAFAY",6
"RAHMAN",6
"RAKAN",6
"RAMI",6
"RANVIR",6
"RIDWAN",6
"ROBERTO",6
"ROHAAN",6
"RON",6
"RYLEE",6
"SAI",6
"SAMAR",6
"SAMER",6
"SAMMY",6
"SARIM",6
"SHREY",6
"SLOAN",6
"SUFYAN",6
"SULEIMAN",6
"TAI",6
"TALAL",6
"TANISH",6
"TARIQ",6
"TAVISH",6
"TAYDEN",6
"TORIN",6
"TRISTIN",6
"UZAIR",6
"VANSH",6
"VIAAN",6
"VINCE",6
"VITO",6
"WESTIN",6
"WILFRED",6
"WILLY",6
"YASIR",6
"YUSEF",6
"ZAC",6
"ZACHERY",6
"ZAVIYAR",6
